,Predicted
0,PTSD
1,PTSD
2,PTSD
3,PTSD
4,depression
5,PTSD
6,control
7,anxiety
8,suicidal
9,PTSD
10,control
11,control
12,control
13,depression
14,PTSD
15,PTSD
16,eating disorder
17,PTSD
18,depression
19,eating disorder
20,eating disorder
21,suicidal
22,PTSD
23,control
24,PTSD
25,suicidal
26,PTSD
27,PTSD
28,eating disorder
29,bipolar
30,PTSD
31,PTSD
32,depression
33,schizophrenia
34,control
35,PTSD
36,control
37,depression
38,bipolar
39,anxiety
40,control
41,control
42,bipolar
43,PTSD
44,depression
45,depression
46,control
47,PTSD
48,PTSD
49,suicidal
50,schizophrenia
51,eating disorder
52,depression
53,anxiety
54,PTSD
55,depression
56,bipolar
57,control
58,depression
59,schizophrenia
60,eating disorder
61,depression
62,suicidal
63,suicidal
64,eating disorder
65,control
66,PTSD
67,eating disorder
68,control
69,depression
70,schizophrenia
71,PTSD
72,suicidal
73,control
74,PTSD
75,PTSD
76,suicidal
77,depression
78,PTSD
79,control
80,eating disorder
81,depression
82,PTSD
83,depression
84,control
85,suicidal
86,schizophrenia
87,bipolar
88,schizophrenia
89,bipolar
90,depression
91,eating disorder
92,suicidal
93,PTSD
94,eating disorder
95,schizophrenia
96,eating disorder
97,depression
98,eating disorder
99,depression
100,bipolar
101,PTSD
102,eating disorder
103,eating disorder
104,depression
105,PTSD
106,control
107,PTSD
108,PTSD
109,PTSD
110,schizophrenia
111,eating disorder
112,anxiety
113,eating disorder
114,PTSD
115,schizophrenia
116,depression
117,depression
118,control
119,depression
120,PTSD
121,control
122,bipolar
123,eating disorder
124,schizophrenia
125,control
126,depression
127,control
128,control
129,PTSD
130,control
131,control
132,suicidal
133,suicidal
134,depression
135,bipolar
136,control
137,PTSD
138,anxiety
139,anxiety
140,schizophrenia
141,PTSD
142,PTSD
143,control
144,anxiety
145,PTSD
146,bipolar
147,eating disorder
148,suicidal
149,suicidal
150,PTSD
151,eating disorder
152,depression
153,suicidal
154,depression
155,schizophrenia
156,depression
157,schizophrenia
158,eating disorder
159,anxiety
160,suicidal
161,depression
162,schizophrenia
163,PTSD
164,depression
165,PTSD
166,PTSD
167,control
168,control
169,PTSD
170,PTSD
171,eating disorder
172,control
173,schizophrenia
174,depression
175,depression
176,eating disorder
177,PTSD
178,bipolar
179,bipolar
180,depression
181,schizophrenia
182,anxiety
183,depression
184,bipolar
185,PTSD
186,suicidal
187,PTSD
188,schizophrenia
189,PTSD
190,control
191,control
192,control
193,PTSD
194,anxiety
195,bipolar
196,bipolar
197,PTSD
198,PTSD
199,control
200,control
201,control
202,suicidal
203,schizophrenia
204,PTSD
205,control
206,depression
207,bipolar
208,bipolar
209,suicidal
210,PTSD
211,anxiety
212,bipolar
213,PTSD
214,depression
215,schizophrenia
216,depression
217,anxiety
218,depression
219,control
220,anxiety
221,bipolar
222,bipolar
223,depression
224,eating disorder
225,control
226,PTSD
227,eating disorder
228,PTSD
229,control
230,schizophrenia
231,bipolar
232,depression
233,PTSD
234,control
235,control
236,bipolar
237,suicidal
238,control
239,suicidal
240,PTSD
241,anxiety
242,PTSD
243,suicidal
244,suicidal
245,schizophrenia
246,eating disorder
247,PTSD
248,PTSD
249,PTSD
250,control
251,anxiety
252,suicidal
253,PTSD
254,control
255,schizophrenia
256,control
257,schizophrenia
258,eating disorder
259,PTSD
260,schizophrenia
261,bipolar
262,depression
263,depression
264,eating disorder
265,schizophrenia
266,eating disorder
267,bipolar
268,depression
269,control
270,eating disorder
271,depression
272,suicidal
273,control
274,eating disorder
275,suicidal
276,eating disorder
277,control
278,anxiety
279,eating disorder
280,suicidal
281,bipolar
282,anxiety
283,suicidal
284,PTSD
285,PTSD
286,PTSD
287,eating disorder
288,eating disorder
289,control
290,eating disorder
291,bipolar
292,control
293,suicidal
294,suicidal
295,PTSD
296,schizophrenia
297,control
298,anxiety
299,eating disorder
300,depression
301,PTSD
302,PTSD
303,PTSD
304,depression
305,depression
306,control
307,control
308,PTSD
309,schizophrenia
310,depression
311,anxiety
312,schizophrenia
313,schizophrenia
314,suicidal
315,PTSD
316,PTSD
317,depression
318,eating disorder
319,depression
320,control
321,depression
322,bipolar
323,eating disorder
324,PTSD
325,control
326,depression
327,bipolar
328,PTSD
329,anxiety
330,control
331,schizophrenia
332,schizophrenia
333,control
334,anxiety
335,depression
336,depression
337,depression
338,PTSD
339,PTSD
340,PTSD
341,depression
342,depression
343,bipolar
344,depression
345,PTSD
346,depression
347,control
348,depression
349,bipolar
350,schizophrenia
351,depression
352,PTSD
353,control
354,anxiety
355,depression
356,eating disorder
357,eating disorder
358,PTSD
359,control
360,bipolar
361,bipolar
362,bipolar
363,PTSD
364,bipolar
365,control
366,eating disorder
367,control
368,PTSD
369,control
370,depression
371,depression
372,bipolar
373,bipolar
374,PTSD
375,schizophrenia
376,anxiety
377,depression
378,anxiety
379,bipolar
380,PTSD
381,control
382,eating disorder
383,control
384,eating disorder
385,schizophrenia
386,control
387,depression
388,eating disorder
389,PTSD
390,control
391,suicidal
392,eating disorder
393,bipolar
394,depression
395,PTSD
396,PTSD
397,control
398,schizophrenia
399,suicidal
400,control
401,PTSD
402,anxiety
403,anxiety
404,control
405,bipolar
406,depression
407,suicidal
408,eating disorder
409,suicidal
410,control
411,schizophrenia
412,bipolar
413,depression
414,PTSD
415,PTSD
416,suicidal
417,schizophrenia
418,PTSD
419,depression
420,control
421,eating disorder
422,PTSD
423,suicidal
424,PTSD
425,PTSD
426,eating disorder
427,suicidal
428,schizophrenia
429,control
430,control
431,depression
432,control
433,control
434,control
435,bipolar
436,bipolar
437,PTSD
438,PTSD
439,PTSD
440,bipolar
441,control
442,schizophrenia
443,control
444,bipolar
445,PTSD
446,suicidal
447,suicidal
448,depression
449,control
450,eating disorder
451,suicidal
452,suicidal
453,control
454,control
455,anxiety
456,bipolar
457,depression
458,suicidal
459,depression
460,eating disorder
461,anxiety
462,eating disorder
463,depression
464,eating disorder
465,eating disorder
466,depression
467,control
468,PTSD
469,depression
470,control
471,depression
472,bipolar
473,suicidal
474,depression
475,PTSD
476,anxiety
477,bipolar
478,depression
479,schizophrenia
480,PTSD
481,bipolar
482,bipolar
483,control
484,anxiety
485,schizophrenia
486,depression
487,control
488,suicidal
489,anxiety
490,eating disorder
491,anxiety
492,PTSD
493,control
494,PTSD
495,eating disorder
496,PTSD
497,bipolar
498,eating disorder
499,depression
500,PTSD
501,eating disorder
502,schizophrenia
503,PTSD
504,control
505,depression
506,control
507,depression
508,control
509,depression
510,PTSD
511,schizophrenia
512,schizophrenia
513,depression
514,PTSD
515,PTSD
516,PTSD
517,anxiety
518,PTSD
519,bipolar
520,depression
521,PTSD
522,eating disorder
523,bipolar
524,PTSD
525,depression
526,PTSD
527,PTSD
528,depression
529,control
530,bipolar
531,PTSD
532,anxiety
533,schizophrenia
534,schizophrenia
535,control
536,suicidal
537,depression
538,PTSD
539,bipolar
540,eating disorder
541,bipolar
542,control
543,PTSD
544,depression
545,PTSD
546,control
547,eating disorder
548,depression
549,control
550,control
551,anxiety
552,bipolar
553,anxiety
554,control
555,PTSD
556,bipolar
557,depression
558,depression
559,bipolar
560,control
561,PTSD
562,depression
563,PTSD
564,schizophrenia
565,eating disorder
566,PTSD
567,bipolar
568,depression
569,depression
570,suicidal
571,PTSD
572,control
573,PTSD
574,suicidal
575,depression
576,depression
577,depression
578,schizophrenia
579,control
580,PTSD
581,depression
582,control
583,eating disorder
584,PTSD
585,depression
586,suicidal
587,control
588,eating disorder
589,eating disorder
590,control
591,eating disorder
592,schizophrenia
593,control
594,anxiety
595,control
596,bipolar
597,bipolar
598,control
599,eating disorder
600,schizophrenia
601,control
602,PTSD
603,depression
604,control
605,anxiety
606,anxiety
607,control
608,PTSD
609,schizophrenia
610,depression
611,bipolar
612,bipolar
613,bipolar
614,bipolar
615,control
616,control
617,control
618,PTSD
619,bipolar
620,control
621,bipolar
622,control
623,schizophrenia
624,suicidal
625,schizophrenia
626,bipolar
627,bipolar
628,schizophrenia
629,anxiety
630,PTSD
631,eating disorder
632,anxiety
633,suicidal
634,PTSD
635,suicidal
636,depression
637,control
638,depression
639,bipolar
640,PTSD
641,schizophrenia
642,bipolar
643,bipolar
644,eating disorder
645,schizophrenia
646,anxiety
647,suicidal
648,PTSD
649,eating disorder
650,PTSD
651,schizophrenia
652,control
653,depression
654,depression
655,PTSD
656,PTSD
657,depression
658,PTSD
659,eating disorder
660,eating disorder
661,control
662,anxiety
663,eating disorder
664,bipolar
665,control
666,eating disorder
667,schizophrenia
668,bipolar
669,control
670,depression
671,anxiety
672,control
673,bipolar
674,PTSD
675,control
676,schizophrenia
677,eating disorder
678,depression
679,eating disorder
680,control
681,eating disorder
682,suicidal
683,anxiety
684,PTSD
685,suicidal
686,schizophrenia
687,eating disorder
688,suicidal
689,schizophrenia
690,bipolar
691,PTSD
692,control
693,eating disorder
694,suicidal
695,PTSD
696,depression
697,PTSD
698,PTSD
699,eating disorder
700,bipolar
701,schizophrenia
702,bipolar
703,PTSD
704,bipolar
705,bipolar
706,eating disorder
707,PTSD
708,eating disorder
