,Predicted
0,0
1,6
2,0
3,6
4,3
5,0
6,7
7,1
8,2
9,0
10,0
11,7
12,3
13,0
14,3
15,0
16,6
17,0
18,3
19,6
20,6
21,2
22,0
23,0
24,3
25,3
26,3
27,0
28,6
29,4
30,4
31,0
32,0
33,6
34,6
35,6
36,1
37,3
38,4
39,1
40,7
41,3
42,2
43,0
44,3
45,3
46,7
47,0
48,0
49,3
50,1
51,6
52,3
53,1
54,0
55,3
56,0
57,6
58,3
59,5
60,6
61,2
62,2
63,0
64,6
65,7
66,0
67,6
68,7
69,0
70,5
71,4
72,2
73,1
74,0
75,2
76,2
77,3
78,0
79,3
80,6
81,4
82,0
83,3
84,7
85,2
86,0
87,4
88,5
89,4
90,2
91,6
92,2
93,1
94,6
95,5
96,6
97,2
98,6
99,3
100,4
101,6
102,6
103,6
104,2
105,3
106,4
107,0
108,0
109,0
110,5
111,6
112,1
113,6
114,0
115,6
116,3
117,0
118,7
119,3
120,0
121,2
122,3
123,6
124,4
125,7
126,3
127,7
128,0
129,0
130,5
131,7
132,2
133,3
134,3
135,1
136,2
137,3
138,3
139,1
140,5
141,3
142,4
143,7
144,1
145,4
146,0
147,6
148,2
149,2
150,0
151,6
152,2
153,2
154,0
155,3
156,3
157,5
158,3
159,4
160,3
161,4
162,5
163,3
164,3
165,0
166,0
167,3
168,5
169,0
170,4
171,6
172,7
173,4
174,1
175,2
176,6
177,3
178,4
179,2
180,3
181,5
182,1
183,4
184,3
185,1
186,2
187,0
188,0
189,2
190,7
191,7
192,5
193,3
194,1
195,4
196,4
197,0
198,0
199,0
200,4
201,7
202,2
203,4
204,0
205,1
206,3
207,3
208,4
209,2
210,3
211,1
212,1
213,0
214,3
215,5
216,3
217,3
218,0
219,7
220,1
221,3
222,4
223,3
224,3
225,2
226,2
227,6
228,0
229,3
230,5
231,3
232,3
233,0
234,3
235,4
236,0
237,4
238,3
239,2
240,0
241,1
242,0
243,3
244,3
245,5
246,6
247,3
248,0
249,0
250,5
251,1
252,4
253,0
254,7
255,2
256,7
257,4
258,6
259,5
260,5
261,5
262,4
263,3
264,6
265,5
266,6
267,4
268,3
269,4
270,6
271,2
272,2
273,7
274,6
275,2
276,6
277,7
278,0
279,6
280,2
281,4
282,1
283,3
284,0
285,0
286,1
287,4
288,6
289,7
290,6
291,4
292,7
293,2
294,2
295,0
296,0
297,7
298,1
299,6
300,1
301,0
302,0
303,5
304,2
305,6
306,3
307,7
308,3
309,5
310,3
311,1
312,0
313,5
314,2
315,0
316,0
317,3
318,6
319,2
320,5
321,2
322,4
323,6
324,3
325,4
326,2
327,4
328,2
329,1
330,7
331,0
332,5
333,3
334,1
335,3
336,3
337,4
338,0
339,0
340,0
341,4
342,3
343,4
344,3
345,0
346,3
347,3
348,3
349,4
350,0
351,3
352,0
353,5
354,3
355,3
356,6
357,6
358,0
359,7
360,4
361,2
362,3
363,1
364,4
365,1
366,6
367,7
368,0
369,7
370,3
371,3
372,4
373,4
374,0
375,0
376,1
377,3
378,2
379,4
380,0
381,2
382,6
383,3
384,6
385,0
386,0
387,3
388,6
389,2
390,0
391,2
392,6
393,2
394,2
395,0
396,0
397,5
398,5
399,3
400,3
401,3
402,1
403,1
404,5
405,4
406,3
407,2
408,6
409,2
410,7
411,0
412,0
413,0
414,3
415,0
416,2
417,5
418,0
419,3
420,2
421,6
422,0
423,2
424,3
425,0
426,6
427,3
428,5
429,7
430,7
431,3
432,7
433,4
434,7
435,4
436,3
437,0
438,4
439,4
440,4
441,7
442,6
443,4
444,2
445,0
446,3
447,3
448,3
449,0
450,3
451,3
452,2
453,0
454,0
455,1
456,4
457,3
458,2
459,2
460,6
461,1
462,6
463,1
464,6
465,6
466,3
467,4
